field_by_id,sample_name,lat,lon,org_c,stock_c
SNW-Field-6,AGE6_1,42.61512359,-121.9433658,2.05,20.39997985
SNW-Field-6,AGE6_2,42.61573377,-121.9440616,2.41,18.47189272
SNW-Field-6,AGE6_3,42.61437404,-121.9427954,1.99,17.88029492
SNW-Field-6,AGE6_4,42.61693186,-121.9429461,2.46,13.23027819
SNW-Field-6,AGE6_5,42.6134471,-121.9424968,2.61,26.47698073
SNW-Field-6,AGE6_6,42.60409482,-121.9433518,2.4,19.70919201
SNW-Field-6,AGE6_7,42.61586702,-121.9422219,2.37,25.26351283
SNW-Field-6,AGE6_8,42.61332022,-121.9425923,2.03,21.24695984
SNW-Field-6,AGE6_9,42.60571636,-121.9433945,1.96,20.26182227
SNW-Field-6,AGE6_10,42.60756152,-121.9425545,1.92,18.05516569
SNW-Field-6,AGE6_11,42.60635668,-121.9421603,1.82,16.17699562
SNW-Field-6,AGE6_12,42.60689242,-121.9434484,2.1,20.62702201
SNW-Field-6,AGE6_13,42.60428142,-121.9430709,3.15,28.50586811
SNW-Field-6,AGE6_14,42.61493689,-121.9433346,3.08,32.03838656
SNW-Field-6,AGE6_15,42.61507284,-121.9429981,2.11,18.34693902
SNW-Field-6,AGE6_16,42.60816461,-121.9433833,1.75,17.245543
SNW-Field-6,AGE6_17,42.60623648,-121.9427817,2.88,29.30872786
SNW-Field-6,AGE6_18,42.61474026,-121.9431568,2.3,23.48034622
SNW-Field-6,AGE6_19,42.60349684,-121.9431267,2.4,20.17293767
SNW-Field-6,AGE6_20,42.60491431,-121.9421651,1.82,12.60164514
SNW-Field-6,AGE6_21,42.60407065,-121.9425877,1.33,11.90731478
SNW-Field-11,AGE11_1,42.61033948,-121.9457342,1.78,19.031608
SNW-Field-11,AGE11_2,42.60999262,-121.9449548,1.73,13.64990364
SNW-Field-11,AGE11_3,42.61276756,-121.9442912,1.82,17.11479247
SNW-Field-11,AGE11_4,42.6112575,-121.9468042,2.45,17.83166601
SNW-Field-11,AGE11_5,42.61169955,-121.9448391,2.4,24.03748512
SNW-Field-11,AGE11_6,42.61116398,-121.9451728,1.55,18.76881878
SNW-Field-11,AGE11_7,42.6087882,-121.9447867,1.29,12.13081444
SNW-Field-11,AGE11_8,42.61186767,-121.944984,1.34,12.16945992
SNW-Field-11,AGE11_9,42.61545884,-121.9453314,2.76,17.24361072
SNW-Field-11,AGE11_10,42.61612549,-121.9454257,3.08,21.32586102
SNW-Field-11,AGE11_11,42.60693215,-121.9445528,2.69,25.46929997
SNW-Field-11,AGE11_12,42.61473101,-121.9451684,2.88,25.32051489
SNW-Field-11,AGE11_13,42.61198109,-121.9467993,2.13,15.50263209
SNW-Field-11,AGE11_14,42.61022688,-121.9464425,1.77,18.41167019
SNW-Field-11,AGE11_15,42.61196325,-121.9463094,2.64,22.4452916
SNW-Field-11,AGE11_16,42.61098599,-121.9456148,2.22,22.02019137
SNW-Field-11,AGE11_17,42.61099679,-121.9467741,2.59,21.68655211
SNW-Field-11,AGE11_18,42.60953624,-121.9461071,2.61,25.46833383
SNW-Field-11,AGE11_19,42.60957292,-121.9459878,2.01,21.55547953
SNW-Field-11,AGE11_20,42.61106718,-121.9459497,1.98,18.49185955
SNW-Field-11,AGE11_21,42.60842617,-121.9447603,2.05,15.71260583
SNW-Field-11,AGE11_22,42.61197006,-121.9460134,2.66,22.61533168
SNW-Field-8,SHE8_1,42.51200844,-121.9033107,2.2,33.22866716
SNW-Field-8,SHE8_2,42.51367773,-121.9031398,2.16,38.05033418
SNW-Field-8,SHE8_3,42.51379374,-121.9051939,2.63,42.60309312
SNW-Field-8,SHE8_4,42.51300353,-121.9025299,2.21,34.66080403
SNW-Field-8,SHE8_5,42.5135418,-121.9058639,2.04,33.70271831
SNW-Field-8,SHE8_6,42.51239148,-121.9079173,1.87,26.37746861
SNW-Field-8,SHE8_7,42.51283941,-121.9080431,2.2,28.76511486
SNW-Field-8,SHE8_8,42.51285058,-121.9103339,2.18,34.0498835
SNW-Field-8,SHE8_9,42.51357339,-121.902781,2.23,34.83084412
SNW-Field-8,SHE8_10,42.51277725,-121.910712,2.19,32.30181985
SNW-Field-8,SHE8_11,42.51213514,-121.9130452,2.44,30.09580735
SNW-Field-8,SHE8_12,42.51302307,-121.9105416,1.9,30.47195664
SNW-Field-8,SHE8_13,42.5121902,-121.90775,2.15,33.23510806
SNW-Field-8,SHE8_14,42.51287572,-121.9083571,2.18,33.83926566
SNW-Field-8,SHE8_15,42.51452007,-121.9064167,2.2,35.35416824
SNW-Field-8,SHE8_16,42.51225046,-121.9061,2.33,35.9425456
SNW-Field-8,SHE8_17,42.51405987,-121.9059483,2.17,31.44775487
SNW-Field-8,SHE8_18,42.51486168,-121.905071,2.2,33.44121725
SNW-Field-8,SHE8_19,42.51197226,-121.9131588,1.85,25.73788602
SNW-Field-8,SHE8_20,42.51269858,-121.9136573,2.22,32.81580468
SNW-Field-8,SHE8_21,42.5133217,-121.9055056,2.2,29.47361523
SNW-Field-8,SHE8_22,42.51267908,-121.9106112,2.2,32.09506657
SNW-Field-8,SHE8_23,42.51225102,-121.905674,2.16,29.00729317
SNW-Field-8,SHE8_24,42.51306385,-121.9127847,2.21,31.67157659
SNW-Field-8,SHE8_25,42.51247183,-121.9123151,2.24,32.9671661
SNW-Field-8,SHE8_26,42.51433283,-121.9037756,2.18,26.88887707
SNW-Field-2,PRO2_2,45.51356412,-116.9981692,3.05,38.79844616
SNW-Field-2,PRO2_2,45.51356412,-116.9981692,3.05,38.79844616
SNW-Field-2,PRO2_3,45.50791273,-116.9915026,3.35,42.07526035
SNW-Field-2,PRO2_4,45.51249019,-116.9996896,3.27,29.27587922
SNW-Field-2,PRO2_4,45.51249019,-116.9996896,3.27,29.27587922
SNW-Field-2,PRO2_5,45.51341488,-116.998921,3.41,36.12997617
SNW-Field-2,PRO2_5,45.51341488,-116.998921,3.41,36.12997617
SNW-Field-2,PRO2_6,45.51297129,-116.9981502,3.52,37.86225956
SNW-Field-2,PRO2_6,45.51297129,-116.9981502,3.52,37.86225956
SNW-Field-2,PRO2_7,45.51348954,-117.0003137,3.1,30.05007689
SNW-Field-2,PRO2_7,45.51348954,-117.0003137,3.1,30.05007689
SNW-Field-2,PRO2_8,45.51199651,-117.0010451,3.22,28.30974235
SNW-Field-2,PRO2_8,45.51199651,-117.0010451,3.22,28.30974235
SNW-Field-2,PRO2_9,45.51077347,-117.0014256,3.74,32.88150199
SNW-Field-2,PRO2_10,45.51167144,-116.9923808,3.52,32.64769684
SNW-Field-2,PRO2_11,45.51205,-116.9917026,3.15,30.73764426
SNW-Field-2,PRO2_12,45.51285367,-116.9913327,3.24,30.98980601
SNW-Field-2,PRO2_13,45.51025126,-116.99479,2.95,32.11116886
SNW-Field-2,PRO2_14,45.51061664,-116.9948212,3.09,37.21752421
SNW-Field-2,PRO2_15,45.51026696,-116.9980343,3.68,34.724247
SNW-Field-2,PRO2_16,45.50888479,-116.9944373,3.69,33.98676254
SNW-Field-2,PRO2_17,45.50898677,-117.000459,3.61,34.29624839
SNW-Field-2,PRO2_18,45.51069123,-116.9975013,3.58,32.05126837
SNW-Field-2,PRO2_19,45.50879167,-116.9962441,3.3,36.45234383
SNW-Field-2,PRO2_20,45.51033445,-116.9934312,3.61,34.52876533
SNW-Field-2,PRO2_21,45.50784888,-116.9968479,3.27,35.80503211
SNW-Field-2,PRO2_22,45.5112422,-116.9923779,3.25,31.92277218
SNW-Field-2,PRO2_23,45.51347249,-116.9923876,3.18,34.10269897
SNW-Field-2,PRO2_23,45.51347249,-116.9923876,3.18,34.10269897
SNW-Field-2,PRO2_24,45.51059276,-116.9972254,3.37,27.13234356
SNW-Field-2,PRO2_25,45.50909479,-117.0013708,3.39,38.10153943
SNW-Field-2,PRO2_26,45.50764657,-116.9931494,3.23,31.9343658
SNW-Field-2,PRO2_27,45.50728744,-116.9933064,3.2,33.59579916
SNW-Field-2,PRO2_28,45.51114472,-116.9991692,3.15,26.67986945
SNW-Field-2,PRO2_29,45.51077173,-116.9990495,3.25,28.67816254
SNW-Field-2,PRO2_30,45.51266503,-116.993684,3.64,33.52623732
SNW-Field-2,PRO2_30,45.51266503,-116.993684,3.64,33.52623732
SNW-Field-2,PRO2_31,45.51088021,-116.9973894,2.67,25.02197861
SNW-Field-2,PRO2_32,45.50772323,-116.9925284,3.19,33.07988207
SNW-Field-2,PRO2_33,45.50969796,-116.9973995,3.21,36.18182551
SNW-Field-2,PRO2_34,45.51124979,-116.9911775,3.49,28.5480561
SNW-Field-2,PRO2_35,45.51181506,-116.9943192,3.58,35.51003833
SNW-Field-2,PRO2_36,45.51014348,-116.9917515,3.46,36.5483134
SNW-Field-2,PRO2_37,45.51024833,-116.9967306,3.59,34.33747021
SNW-Field-2,PRO2_38,45.51341582,-116.9936317,3.47,19.10922102
SNW-Field-2,PRO2_38,45.51341582,-116.9936317,3.47,19.10922102
SNW-Field-2,PRO2_39,45.51321471,-116.9981133,3.5,32.91306246
SNW-Field-2,PRO2_39,45.51321471,-116.9981133,3.5,32.91306246
SNW-Field-2,PRO2_40,45.51278576,-116.9999298,3.52,27.43313417
SNW-Field-2,PRO2_40,45.51278576,-116.9999298,3.52,27.43313417
SNW-Field-2,PRO2_41,45.51279896,-116.9994697,3.21,31.94338309
SNW-Field-2,PRO2_41,45.51279896,-116.9994697,3.21,31.94338309
